name,HA,HD,mw,lp,tpsa,rb,ha
CHEMBL397593,8,3,565.718000,5.008200,90.980000,11,42
CHEMBL415135,8,2,541.659000,5.464700,101.380000,10,41
CHEMBL178384,5,2,390.270000,5.640920,67.160000,5,26
CHEMBL2164492,6,2,489.447000,3.850200,64.680000,4,33
CHEMBL3798155,10,3,649.702000,5.623200,126.820000,12,48
CHEMBL3319277,7,2,409.876000,3.315100,105.230000,3,26
CHEMBL1081612,5,1,455.533000,5.269120,56.410000,3,34
CHEMBL2011836,9,2,562.711000,4.295100,100.210000,9,41
CHEMBL373392,8,5,614.581000,6.518300,117.410000,10,43
CHEMBL2163451,18,13,800.966000,0.402200,288.340000,21,58
CHEMBL2163476,19,15,859.993000,0.737900,312.920000,21,63
CHEMBL3581045,9,2,572.669000,4.948700,111.770000,11,43
CHEMBL205794,8,6,468.627000,3.459300,136.020000,10,33
CHEMBL364430,7,1,503.430000,5.767700,78.680000,9,34
CHEMBL2113324,10,4,631.781000,5.491000,121.880000,12,47
